eventdate,hotelid,nationality,client_nationality,total_requests,total_availability,availability_percentage,orders,gb,conversion_rate_percentage,net_revenue_over_gb_perc,fee_over_gb_perc
"noviembre 17, 2025","290,997",AR,,"1,402",998,0.71,0,0,0,0,0
"noviembre 14, 2025","290,564",HN,,360,189,0.53,0,0,0,0,0
"noviembre 26, 2025","290,966",GE,,3,3,1,0,0,0,0,0
"noviembre 23, 2025","291,359",CH,,134,128,0.96,0,0,0,0,0
"noviembre 12, 2025","351,212",CA,,"4,190","3,495",0.83,0,0,0,0,0
"noviembre 15, 2025","290,997",IT,,456,287,0.63,0,0,0,0,0
"noviembre 16, 2025","290,997",AU,,165,142,0.86,0,0,0,0,0
"noviembre 2, 2025","291,359",SN,,2,0,0,0,0,0,0,0
"noviembre 21, 2025","290,966",UY,,299,265,0.89,0,0,0,0,0
"noviembre 14, 2025","291,359",BS,,16,0,0,0,0,0,0,0
"noviembre 1, 2025","290,564",MX,,"42,918","31,442",0.73,0,0,0,0,0
"noviembre 21, 2025","290,966",TR,,323,253,0.78,0,0,0,0,0
"noviembre 25, 2025","330,061",KR,,41,27,0.66,0,0,0,0,0
"noviembre 2, 2025","290,564",LU,,4,4,1,0,0,0,0,0
"noviembre 11, 2025","291,359",MD,,1,1,1,0,0,0,0,0
"noviembre 1, 2025","351,212",ID,,3,3,1,0,0,0,0,0
"noviembre 11, 2025","290,966",OM,,2,2,1,0,0,0,0,0
"noviembre 13, 2025","291,359",AL,,3,3,1,0,0,0,0,0
"noviembre 2, 2025","351,212",MX,,"14,159","11,359",0.8,0,0,0,0,0
"noviembre 23, 2025","291,359",BA,,6,6,1,0,0,0,0,0
"noviembre 21, 2025","290,997",fr,,2,2,1,0,0,0,0,0
"noviembre 25, 2025","290,997",ID,,30,27,0.9,0,0,0,0,0
"noviembre 12, 2025","351,212",UY,,251,207,0.82,0,0,0,0,0
"noviembre 13, 2025","290,564",NO,,70,55,0.79,0,0,0,0,0
"noviembre 7, 2025","290,966",DE,,"1,354",915,0.68,0,0,0,0,0
"noviembre 24, 2025","290,997",QA,,3,1,0.33,0,0,0,0,0
"noviembre 11, 2025","290,966",NG,,8,8,1,0,0,0,0,0
"noviembre 1, 2025","290,966",BH,,1,0,0,0,0,0,0,0
"noviembre 8, 2025","290,997",TH,,"9,797","6,759",0.69,0,0,0,0,0
"noviembre 22, 2025","290,966",ZM,,1,1,1,0,0,0,0,0
"noviembre 8, 2025","290,564",HU,,1,1,1,0,0,0,0,0
"noviembre 4, 2025","291,359",ID,,141,106,0.75,0,0,0,0,0
"noviembre 5, 2025","290,997",TJ,,1,1,1,0,0,0,0,0
"noviembre 5, 2025","291,359",sv,,3,2,0.67,0,0,0,0,0
"noviembre 1, 2025","290,564",NO,,50,43,0.86,0,0,0,0,0
"noviembre 3, 2025","290,966",TT,,48,48,1,0,0,0,0,0
"noviembre 4, 2025","330,061",PH,,2,0,0,0,0,0,0,0
"noviembre 9, 2025","290,966",VE,,6,1,0.17,0,0,0,0,0
"noviembre 18, 2025","291,359",CY,,53,53,1,0,0,0,0,0
"noviembre 18, 2025","290,966",IN,,172,170,0.99,0,0,0,0,0
"noviembre 6, 2025","351,212",AE,,110,71,0.65,0,0,0,0,0
"noviembre 12, 2025","351,212",PK,,2,2,1,0,0,0,0,0
"noviembre 23, 2025","291,359",EE,,4,4,1,0,0,0,0,0
"noviembre 12, 2025","351,212",PA,,77,59,0.77,0,0,0,0,0
"noviembre 5, 2025","290,997",CH,,133,73,0.55,0,0,0,0,0
"noviembre 6, 2025","330,061",BO,,106,94,0.89,0,0,0,0,0
"noviembre 3, 2025","290,966",UM,,6,6,1,0,0,0,0,0
"noviembre 13, 2025","291,359",GB,,"5,511","3,657",0.66,0,0,0,0,0
"noviembre 9, 2025","330,061",CR,,38,37,0.97,0,0,0,0,0
"noviembre 16, 2025","290,966",CL,,458,303,0.66,0,0,0,0,0
"noviembre 23, 2025","291,359",QA,,4,4,1,0,0,0,0,0
"noviembre 15, 2025","290,564",EC,,32,17,0.53,0,0,0,0,0
"noviembre 19, 2025","351,212",GT,,"1,145","1,113",0.97,0,0,0,0,0
"noviembre 24, 2025","290,966",EC,,331,200,0.6,0,0,0,0,0
"noviembre 21, 2025","290,997",CU,,3,2,0.67,0,0,0,0,0
"noviembre 3, 2025","290,966",NG,,23,15,0.65,0,0,0,0,0
"noviembre 1, 2025","290,966",CY,,3,3,1,0,0,0,0,0
"noviembre 16, 2025","290,966",RO,,73,71,0.97,0,0,0,0,0
"noviembre 5, 2025","290,997",GT,,"1,230",653,0.53,0,0,0,0,0
"noviembre 24, 2025","351,212",KR,,11,9,0.82,0,0,0,0,0
"noviembre 24, 2025","290,966",MO,,1,0,0,0,0,0,0,0
"noviembre 26, 2025","291,359",QA,,1,0,0,0,0,0,0,0
"noviembre 18, 2025","291,359",MA,,6,6,1,0,0,0,0,0
"noviembre 1, 2025","351,212",JM,,1,1,1,0,0,0,0,0
"noviembre 16, 2025","290,564",AZ,,5,5,1,0,0,0,0,0
"noviembre 15, 2025","290,997",CL,,848,557,0.66,0,0,0,0,0
"noviembre 16, 2025","290,966",LT,,161,108,0.67,0,0,0,0,0
"noviembre 25, 2025","291,359",DZ,,3,0,0,0,0,0,0,0
"noviembre 12, 2025","351,212",FR,,898,789,0.88,0,0,0,0,0
"noviembre 21, 2025","290,564",BO,,379,231,0.61,0,0,0,0,0
"noviembre 3, 2025","291,359",FR,,631,394,0.62,0,0,0,0,0
"noviembre 1, 2025","351,212",SI,,1,0,0,0,0,0,0,0
"noviembre 23, 2025","291,359",N/A,,"90,944","76,601",0.84,0,0,0,0,0
"noviembre 17, 2025","291,359",AL,,7,7,1,0,0,0,0,0
"noviembre 20, 2025","290,997",ES,,"85,754","55,673",0.65,0,0,0,0,0
"noviembre 20, 2025","291,359",CU,,3,1,0.33,0,0,0,0,0
"noviembre 21, 2025","290,564",EG,,36,13,0.36,0,0,0,0,0
"noviembre 15, 2025","290,966",CY,,62,62,1,0,0,0,0,0
"noviembre 16, 2025","291,359",RU,,585,463,0.79,0,0,0,0,0
"noviembre 9, 2025","291,359",JP,,173,167,0.97,0,0,0,0,0
"noviembre 12, 2025","290,564",BE,,40,27,0.68,0,0,0,0,0
"noviembre 20, 2025","330,061",PE,,126,71,0.56,0,0,0,0,0
"noviembre 7, 2025","290,966",LB,,2,2,1,0,0,0,0,0
"noviembre 2, 2025","330,061",AU,,98,96,0.98,0,0,0,0,0
"noviembre 13, 2025","290,966",AR,,"2,054","1,827",0.89,0,0,0,0,0
"noviembre 11, 2025","291,359",RO,,18,7,0.39,0,0,0,0,0
"noviembre 2, 2025","330,061",PE,,42,36,0.86,0,0,0,0,0
"noviembre 13, 2025","330,061",CU,,3,3,1,0,0,0,0,0
"noviembre 1, 2025","290,966",HR,,11,11,1,0,0,0,0,0
"noviembre 7, 2025","330,061",KZ,,10,8,0.8,0,0,0,0,0
"noviembre 26, 2025","290,564",IQ,,1,1,1,0,0,0,0,0
"noviembre 14, 2025","290,564",TT,,31,0,0,0,0,0,0,0
"noviembre 6, 2025","291,359",NL,,474,302,0.64,0,0,0,0,0
"noviembre 6, 2025","290,564",RO,,19,18,0.95,0,0,0,0,0
